,word,cluster
975,Laras,Lapras
976,Horsdea,Horsea
977,Votlorb,Voltorb
978,Venomofh,Venomoth
979,Marrowak,Marowak
980,CUBONE,Cubone
981,Maikarp,Magikarp
982,Dragnoair,Dragonair
983,A4bok,Arbok
984,Goleduck,Golduck
985,Caterpie,Caterpie
986,Magneeton,Magneton
987,Zapdos#,Zapdos
988,Seadra#,Seadra
989,KAdabra,Kadabra
990,Machop,Machop
991,Seaddra,Seadra
992,Cloyster,Cloyster
993,Blstoise,Blastoise
994,ClefablegaOjZoE,Clefable
995,Feodude,Geodude
996,Magikarü,Magikarp
997,Mw,Mew
998,eMw,Mew
999,Starmkie,Starmie
